Compound	Negative	Neutral	Positive
compound:	0.296,	neg:	0.0,
compound: -0.6688	 neg: 0.157	 neu: 0.843	 pos: 0.0
compound: 0.1171	 neg: 0.149	 neu: 0.571	 pos: 0.28
compound: 0.0	 neg: 0.109	 neu: 0.781	 pos: 0.109
compound: 0.5719	 neg: 0.0	 neu: 0.793	 pos: 0.207
compound: 0.0428	 neg: 0.096	 neu: 0.726	 pos: 0.178
compound: -0.0516	 neg: 0.054	 neu: 0.946	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.131	 neu: 0.724	 pos: 0.145
compound: -0.5411	 neg: 0.164	 neu: 0.786	 pos: 0.05
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3802	 neg: 0.0	 neu: 0.909	 pos: 0.091
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3818	 neg: 0.0	 neu: 0.843	 pos: 0.157
compound: 0.4767	 neg: 0.088	 neu: 0.737	 pos: 0.176
compound: -0.2023	 neg: 0.101	 neu: 0.899	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.7717	 neg: 0.0	 neu: 0.438	 pos: 0.562
compound: 0.4019	 neg: 0.0	 neu: 0.816	 pos: 0.184
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3987	 neg: 0.0	 neu: 0.953	 pos: 0.047
compound: 0.5562	 neg: 0.0	 neu: 0.898	 pos: 0.102
compound: 0.5837	 neg: 0.0	 neu: 0.769	 pos: 0.231
compound: 0.3818	 neg: 0.0	 neu: 0.847	 pos: 0.153
compound: 0.9097	 neg: 0.0	 neu: 0.732	 pos: 0.268
compound: 0.2263	 neg: 0.0	 neu: 0.881	 pos: 0.119
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.2732	 neg: 0.114	 neu: 0.822	 pos: 0.064
compound: -0.2714	 neg: 0.096	 neu: 0.904	 pos: 0.0
compound: 0.6318	 neg: 0.0	 neu: 0.823	 pos: 0.177
compound: 0.7351	 neg: 0.0	 neu: 0.816	 pos: 0.184
compound: 0.3818	 neg: 0.0	 neu: 0.843	 pos: 0.157
compound: 0.6901	 neg: 0.0	 neu: 0.711	 pos: 0.289
compound: 0.4404	 neg: 0.0	 neu: 0.734	 pos: 0.266
compound: 0.6486	 neg: 0.0	 neu: 0.858	 pos: 0.142
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4939	 neg: 0.113	 neu: 0.838	 pos: 0.049
compound: -0.6124	 neg: 0.312	 neu: 0.688	 pos: 0.0
compound: 0.8173	 neg: 0.0	 neu: 0.717	 pos: 0.283
compound: 0.4003	 neg: 0.0	 neu: 0.821	 pos: 0.179
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.128	 neg: 0.0	 neu: 0.958	 pos: 0.042
compound: 0.4215	 neg: 0.0	 neu: 0.682	 pos: 0.318
compound: 0.8493	 neg: 0.053	 neu: 0.624	 pos: 0.323
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.5859	 neg: 0.0	 neu: 0.648	 pos: 0.352
compound: 0.6892	 neg: 0.0	 neu: 0.893	 pos: 0.107
compound: 0.3147	 neg: 0.0	 neu: 0.914	 pos: 0.086
compound: 0.3818	 neg: 0.0	 neu: 0.658	 pos: 0.342
compound: 0.1027	 neg: 0.0	 neu: 0.887	 pos: 0.113
compound: 0.6361	 neg: 0.0	 neu: 0.839	 pos: 0.161
compound: -0.2732	 neg: 0.149	 neu: 0.851	 pos: 0.0
compound: 0.1779	 neg: 0.0	 neu: 0.909	 pos: 0.091
compound: 0.2732	 neg: 0.122	 neu: 0.717	 pos: 0.161
compound: 0.296	 neg: 0.0	 neu: 0.862	 pos: 0.138
compound: 0.2732	 neg: 0.0	 neu: 0.876	 pos: 0.124
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.6682	 neg: 0.0	 neu: 0.801	 pos: 0.199
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.2263	 neg: 0.128	 neu: 0.872	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4404	 neg: 0.056	 neu: 0.944	 pos: 0.0
compound: 0.3182	 neg: 0.09	 neu: 0.762	 pos: 0.148
compound: 0.4184	 neg: 0.129	 neu: 0.733	 pos: 0.138
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4939	 neg: 0.262	 neu: 0.738	 pos: 0.0
compound: 0.2944	 neg: 0.0	 neu: 0.785	 pos: 0.215
compound: 0.3818	 neg: 0.0	 neu: 0.843	 pos: 0.157
compound: -0.0276	 neg: 0.159	 neu: 0.69	 pos: 0.151
compound: -0.0258	 neg: 0.055	 neu: 0.945	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4158	 neg: 0.122	 neu: 0.878	 pos: 0.0
compound: -0.2942	 neg: 0.071	 neu: 0.89	 pos: 0.039
compound: 0.2023	 neg: 0.0	 neu: 0.87	 pos: 0.13
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.25	 neg: 0.125	 neu: 0.875	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3182	 neg: 0.076	 neu: 0.798	 pos: 0.125
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.6103	 neg: 0.174	 neu: 0.64	 pos: 0.186
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.4939	 neg: 0.262	 neu: 0.738	 pos: 0.0
compound: 0.2944	 neg: 0.0	 neu: 0.804	 pos: 0.196
compound: 0.1027	 neg: 0.106	 neu: 0.769	 pos: 0.125
compound: -0.0276	 neg: 0.17	 neu: 0.667	 pos: 0.163
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.4019	 neg: 0.05	 neu: 0.822	 pos: 0.128
compound: -0.1531	 neg: 0.167	 neu: 0.833	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.7211	 neg: 0.26	 neu: 0.74	 pos: 0.0
compound: -0.25	 neg: 0.143	 neu: 0.857	 pos: 0.0
compound: 0.1007	 neg: 0.0	 neu: 0.932	 pos: 0.068
compound: 0.2023	 neg: 0.0	 neu: 0.87	 pos: 0.13
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.25	 neg: 0.125	 neu: 0.875	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.7574	 neg: 0.0	 neu: 0.667	 pos: 0.333
compound: -0.2732	 neg: 0.097	 neu: 0.903	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.3041	 neg: 0.218	 neu: 0.782	 pos: 0.0
compound: -0.1531	 neg: 0.112	 neu: 0.804	 pos: 0.085
compound: 0.296	 neg: 0.124	 neu: 0.644	 pos: 0.233
compound: -0.2263	 neg: 0.128	 neu: 0.872	 pos: 0.0
compound: -0.2732	 neg: 0.174	 neu: 0.826	 pos: 0.0
compound: -0.296	 neg: 0.141	 neu: 0.729	 pos: 0.13
compound: 0.374	 neg: 0.0	 neu: 0.754	 pos: 0.246
compound: 0.5423	 neg: 0.057	 neu: 0.718	 pos: 0.225
compound: 0.2023	 neg: 0.0	 neu: 0.769	 pos: 0.231
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.1513	 neg: 0.166	 neu: 0.834	 pos: 0.0
compound: 0.128	 neg: 0.0	 neu: 0.919	 pos: 0.081
compound: 0.4939	 neg: 0.114	 neu: 0.633	 pos: 0.253
compound: 0.6369	 neg: 0.0	 neu: 0.756	 pos: 0.244
compound: 0.6597	 neg: 0.0	 neu: 0.652	 pos: 0.348
compound: 0.0951	 neg: 0.0	 neu: 0.785	 pos: 0.215
compound: -0.2023	 neg: 0.04	 neu: 0.96	 pos: 0.0
compound: 0.5423	 neg: 0.0	 neu: 0.72	 pos: 0.28
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3021	 neg: 0.124	 neu: 0.661	 pos: 0.216
compound: -0.3182	 neg: 0.113	 neu: 0.887	 pos: 0.0
compound: 0.4215	 neg: 0.0	 neu: 0.811	 pos: 0.189
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.106	 neu: 0.706	 pos: 0.188
compound: -0.0498	 neg: 0.19	 neu: 0.634	 pos: 0.176
compound: -0.7717	 neg: 0.201	 neu: 0.771	 pos: 0.028
compound: 0.1761	 neg: 0.045	 neu: 0.877	 pos: 0.078
compound: 0.1695	 neg: 0.0	 neu: 0.844	 pos: 0.156
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.2003	 neg: 0.121	 neu: 0.879	 pos: 0.0
compound: -0.0377	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.5256	 neg: 0.207	 neu: 0.793	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.1761	 neg: 0.131	 neu: 0.779	 pos: 0.09
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.6908	 neg: 0.0	 neu: 0.808	 pos: 0.192
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.25	 neg: 0.2	 neu: 0.8	 pos: 0.0
compound: -0.1779	 neg: 0.175	 neu: 0.825	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.7089	 neg: 0.0	 neu: 0.753	 pos: 0.247
compound: 0.34	 neg: 0.0	 neu: 0.906	 pos: 0.094
compound: 0.25	 neg: 0.032	 neu: 0.913	 pos: 0.055
compound: -0.3947	 neg: 0.128	 neu: 0.821	 pos: 0.052
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.0772	 neg: 0.08	 neu: 0.92	 pos: 0.0
compound: 0.1779	 neg: 0.0	 neu: 0.825	 pos: 0.175
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.128	 neg: 0.143	 neu: 0.739	 pos: 0.118
compound: 0.0772	 neg: 0.108	 neu: 0.769	 pos: 0.123
compound: -0.4767	 neg: 0.147	 neu: 0.853	 pos: 0.0
compound: 0.2023	 neg: 0.0	 neu: 0.833	 pos: 0.167
compound: -0.4019	 neg: 0.076	 neu: 0.924	 pos: 0.0
compound: 0.34	 neg: 0.034	 neu: 0.882	 pos: 0.084
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.5267	 neg: 0.0	 neu: 0.714	 pos: 0.286
compound: -0.0276	 neg: 0.063	 neu: 0.879	 pos: 0.059
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.5106	 neg: 0.248	 neu: 0.752	 pos: 0.0
compound: 0.2057	 neg: 0.0	 neu: 0.935	 pos: 0.065
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.2942	 neg: 0.16	 neu: 0.84	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.5806	 neg: 0.172	 neu: 0.828	 pos: 0.0
compound: -0.2193	 neg: 0.158	 neu: 0.842	 pos: 0.0
compound: -0.3089	 neg: 0.184	 neu: 0.816	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0516	 neg: 0.0	 neu: 0.833	 pos: 0.167
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.1531	 neg: 0.098	 neu: 0.833	 pos: 0.069
compound: 0.5106	 neg: 0.0	 neu: 0.878	 pos: 0.122
compound: 0.2023	 neg: 0.0	 neu: 0.769	 pos: 0.231
compound: -0.3182	 neg: 0.127	 neu: 0.802	 pos: 0.072
compound: 0.4588	 neg: 0.0	 neu: 0.85	 pos: 0.15
compound: 0.1779	 neg: 0.0	 neu: 0.943	 pos: 0.057
compound: 0.7184	 neg: 0.0	 neu: 0.794	 pos: 0.206
compound: -0.34	 neg: 0.124	 neu: 0.876	 pos: 0.0
compound: -0.2263	 neg: 0.347	 neu: 0.396	 pos: 0.257
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.2023	 neg: 0.0	 neu: 0.913	 pos: 0.087
compound: 0.2023	 neg: 0.0	 neu: 0.913	 pos: 0.087
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3724	 neg: 0.0	 neu: 0.907	 pos: 0.093
compound: 0.2192	 neg: 0.0	 neu: 0.88	 pos: 0.12
compound: -0.3182	 neg: 0.121	 neu: 0.821	 pos: 0.058
compound: 0.443	 neg: 0.077	 neu: 0.742	 pos: 0.181
compound: 0.4019	 neg: 0.0	 neu: 0.863	 pos: 0.137
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3632	 neg: 0.042	 neu: 0.856	 pos: 0.103
compound: -0.3187	 neg: 0.112	 neu: 0.83	 pos: 0.058
compound: -0.542	 neg: 0.152	 neu: 0.848	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.34	 neg: 0.0	 neu: 0.897	 pos: 0.103
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.0258	 neg: 0.135	 neu: 0.736	 pos: 0.129
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.8591	 neg: 0.041	 neu: 0.766	 pos: 0.193
compound: 0.2263	 neg: 0.0	 neu: 0.888	 pos: 0.112
compound: 0.714	 neg: 0.13	 neu: 0.54	 pos: 0.331
compound: 0.807	 neg: 0.0	 neu: 0.751	 pos: 0.249
compound: -0.0772	 neg: 0.106	 neu: 0.894	 pos: 0.0
compound: 0.0679	 neg: 0.075	 neu: 0.798	 pos: 0.127
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: -0.25	 neg: 0.143	 neu: 0.857	 pos: 0.0
compound: 0.1695	 neg: 0.0	 neu: 0.844	 pos: 0.156
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.2732	 neg: 0.099	 neu: 0.76	 pos: 0.141
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.0	 neu: 0.909	 pos: 0.091
compound: -0.3875	 neg: 0.149	 neu: 0.851	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.296	 neg: 0.0	 neu: 0.862	 pos: 0.138
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0516	 neg: 0.125	 neu: 0.729	 pos: 0.146
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1531	 neg: 0.122	 neu: 0.732	 pos: 0.146
compound: -0.4939	 neg: 0.086	 neu: 0.881	 pos: 0.033
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.0	 neu: 0.877	 pos: 0.123
compound: -0.34	 neg: 0.375	 neu: 0.625	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.1027	 neg: 0.0	 neu: 0.909	 pos: 0.091
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.0	 neg: 0.0	 neu: 1.0	 pos: 0.0
compound: 0.3182	 neg: 0.0	 neu: 0.874	 pos: 0.126
compound: -0.128	 neg: 0.193	 neu: 0.702	 pos: 0.105
compound: -0.1695	 neg: 0.1	 neu: 0.9	 pos: 0.0
compound: 0.6705	 neg: 0.0	 neu: 0.56	 pos: 0.44
compound: -0.1531	 neg: 0.096	 neu: 0.904	 pos: 0.0
compound: 0.0516	 neg: 0.0	 neu: 0.934	 pos: 0.066
