Compound	Negative	Neutral	Positive
-0.6688	0.157	0.843	0
0.1171	0.149	0.571	0.28
0	0.109	0.781	0.109
0.5719	0	0.793	0.207
0.0428	0.096	0.726	0.178
-0.0516	0.054	0.946	0
0	0	1	0
0.1027	0.131	0.724	0.145
-0.5411	0.164	0.786	0.05
0	0	1	0
0.3802	0	0.909	0.091
0	0	1	0
0.3818	0	0.843	0.157
0.4767	0.088	0.737	0.176
-0.2023	0.101	0.899	0
0	0	1	0
0	0	1	0
0.7717	0	0.438	0.562
0.4019	0	0.816	0.184
0	0	1	0
0.3987	0	0.953	0.047
0.5562	0	0.898	0.102
0.5837	0	0.769	0.231
0.3818	0	0.847	0.153
0.9097	0	0.732	0.268
0.2263	0	0.881	0.119
0	0	1	0
0	0	1	0
-0.2732	0.114	0.822	0.064
-0.2714	0.096	0.904	0
0.6318	0	0.823	0.177
0.7351	0	0.816	0.184
0.3818	0	0.843	0.157
0.6901	0	0.711	0.289
0.4404	0	0.734	0.266
0.6486	0	0.858	0.142
0	0	1	0
-0.4939	0.113	0.838	0.049
-0.6124	0.312	0.688	0
0.8173	0	0.717	0.283
0.4003	0	0.821	0.179
0	0	1	0
0.128	0	0.958	0.042
0.4215	0	0.682	0.318
0.8493	0.053	0.624	0.323
0	0	1	0
0.5859	0	0.648	0.352
0.6892	0	0.893	0.107
0.3147	0	0.914	0.086
0.3818	0	0.658	0.342
0.1027	0	0.887	0.113
0.6361	0	0.839	0.161
-0.2732	0.149	0.851	0
0.1779	0	0.909	0.091
0.2732	0.122	0.717	0.161
0.296	0	0.862	0.138
0.2732	0	0.876	0.124
0	0	1	0
0	0	1	0
0.6682	0	0.801	0.199
0	0	1	0
-0.2263	0.128	0.872	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.4404	0.056	0.944	0
0.3182	0.09	0.762	0.148
0.4184	0.129	0.733	0.138
0	0	1	0
0	0	1	0
0	0	1	0
-0.4939	0.262	0.738	0
0.2944	0	0.785	0.215
0.3818	0	0.843	0.157
-0.0276	0.159	0.69	0.151
-0.0258	0.055	0.945	0
0	0	1	0
-0.4158	0.122	0.878	0
-0.2942	0.071	0.89	0.039
0.2023	0	0.87	0.13
0	0	1	0
-0.25	0.125	0.875	0
0	0	1	0
0.3182	0.076	0.798	0.125
0	0	1	0
0.6103	0.174	0.64	0.186
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.4939	0.262	0.738	0
0.2944	0	0.804	0.196
0.1027	0.106	0.769	0.125
-0.0276	0.17	0.667	0.163
0	0	1	0
0.4019	0.05	0.822	0.128
-0.1531	0.167	0.833	0
0	0	1	0
-0.7211	0.26	0.74	0
-0.25	0.143	0.857	0
0.1007	0	0.932	0.068
0.2023	0	0.87	0.13
0	0	1	0
-0.25	0.125	0.875	0
0	0	1	0
0	0	1	0
0.7574	0	0.667	0.333
-0.2732	0.097	0.903	0
0	0	1	0
-0.3041	0.218	0.782	0
-0.1531	0.112	0.804	0.085
0.296	0.124	0.644	0.233
-0.2263	0.128	0.872	0
-0.2732	0.174	0.826	0
-0.296	0.141	0.729	0.13
0.374	0	0.754	0.246
0.5423	0.057	0.718	0.225
0.2023	0	0.769	0.231
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.1513	0.166	0.834	0
0.128	0	0.919	0.081
0.4939	0.114	0.633	0.253
0.6369	0	0.756	0.244
0.6597	0	0.652	0.348
0.0951	0	0.785	0.215
-0.2023	0.04	0.96	0
0.5423	0	0.72	0.28
0	0	1	0
0.3021	0.124	0.661	0.216
-0.3182	0.113	0.887	0
0.4215	0	0.811	0.189
0	0	1	0
0	0	1	0
0.1027	0.106	0.706	0.188
-0.0498	0.19	0.634	0.176
-0.7717	0.201	0.771	0.028
0.1761	0.045	0.877	0.078
0.1695	0	0.844	0.156
0	0	1	0
0	0	1	0
-0.2003	0.121	0.879	0
-0.0377	0	1	0
0	0	1	0
-0.5256	0.207	0.793	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.1761	0.131	0.779	0.09
0	0	1	0
0	0	1	0
0.6908	0	0.808	0.192
0	0	1	0
-0.25	0.2	0.8	0
-0.1779	0.175	0.825	0
0	0	1	0
0	0	1	0
0	0	1	0
0.7089	0	0.753	0.247
0.34	0	0.906	0.094
0.25	0.032	0.913	0.055
-0.3947	0.128	0.821	0.052
0	0	1	0
-0.0772	0.08	0.92	0
0.1779	0	0.825	0.175
0	0	1	0
-0.128	0.143	0.739	0.118
0.0772	0.108	0.769	0.123
-0.4767	0.147	0.853	0
0.2023	0	0.833	0.167
-0.4019	0.076	0.924	0
0.34	0.034	0.882	0.084
0	0	1	0
0.5267	0	0.714	0.286
-0.0276	0.063	0.879	0.059
0	0	1	0
0	0	1	0
-0.5106	0.248	0.752	0
0.2057	0	0.935	0.065
0	0	1	0
-0.2942	0.16	0.84	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.5806	0.172	0.828	0
-0.2193	0.158	0.842	0
-0.3089	0.184	0.816	0
0	0	1	0
0.0516	0	0.833	0.167
0	0	1	0
0	0	1	0
-0.1531	0.098	0.833	0.069
0.5106	0	0.878	0.122
0.2023	0	0.769	0.231
-0.3182	0.127	0.802	0.072
0.4588	0	0.85	0.15
0.1779	0	0.943	0.057
0.7184	0	0.794	0.206
-0.34	0.124	0.876	0
-0.2263	0.347	0.396	0.257
0	0	1	0
0.2023	0	0.913	0.087
0.2023	0	0.913	0.087
0	0	1	0
0.3724	0	0.907	0.093
0.2192	0	0.88	0.12
-0.3182	0.121	0.821	0.058
0.443	0.077	0.742	0.181
0.4019	0	0.863	0.137
0	0	1	0
0	0	1	0
0.3632	0.042	0.856	0.103
-0.3187	0.112	0.83	0.058
-0.542	0.152	0.848	0
0	0	1	0
0	0	1	0
0	0	1	0
0.34	0	0.897	0.103
0	0	1	0
-0.0258	0.135	0.736	0.129
0	0	1	0
0.8591	0.041	0.766	0.193
0.2263	0	0.888	0.112
0.714	0.13	0.54	0.331
0.807	0	0.751	0.249
-0.0772	0.106	0.894	0
0.0679	0.075	0.798	0.127
0	0	1	0
-0.25	0.143	0.857	0
0.1695	0	0.844	0.156
0	0	1	0
0.2732	0.099	0.76	0.141
0	0	1	0
0.1027	0	0.909	0.091
-0.3875	0.149	0.851	0
0	0	1	0
0	0	1	0
0.296	0	0.862	0.138
0	0	1	0
0	0	1	0
0.0516	0.125	0.729	0.146
0	0	1	0
0.1531	0.122	0.732	0.146
-0.4939	0.086	0.881	0.033
0	0	1	0
0.1027	0	0.877	0.123
-0.34	0.375	0.625	0
0	0	1	0
0	0	1	0
0.1027	0	0.909	0.091
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.3182	0	0.874	0.126
-0.128	0.193	0.702	0.105
-0.1695	0.1	0.9	0
0.6705	0	0.56	0.44
-0.1531	0.096	0.904	0
0.0516	0	0.934	0.066
-0.3182	0.204	0.796	0
0.3818	0	0.662	0.338
-0.1263	0.199	0.801	0
0.2263	0	0.888	0.112
0.6124	0	0.8	0.2
0	0	1	0
0	0	1	0
-0.1779	0.091	0.909	0
-0.7184	0.4	0.6	0
-0.9601	0.617	0.383	0
-0.5267	0.14	0.86	0
0.516	0	0.316	0.684
0.34	0	0.556	0.444
-0.8048	0.422	0.513	0.065
-0.6697	0.194	0.806	0
-0.8555	0.278	0.657	0.066
0	0	1	0
0	0	1	0
0.34	0	0.556	0.444
-0.0772	0.394	0.606	0
0.34	0	0.625	0.375
0	0	1	0
0.4939	0	0.556	0.444
-0.0844	0.077	0.825	0.097
0.4939	0	0.192	0.808
-0.4581	0.178	0.822	0
0.743	0	0.751	0.249
0	0	1	0
0	0	1	0
-0.25	0.167	0.833	0
0	0	1	0
0	0	1	0
0.6486	0	0.819	0.181
0	0	1	0
0	0	1	0
0.0191	0	0.967	0.033
-0.0516	0.038	0.962	0
0	0	1	0
0	0	1	0
-0.2263	0.083	0.866	0.051
0.2466	0.187	0.502	0.311
0.0258	0.056	0.835	0.109
0	0	1	0
0.2023	0	0.913	0.087
-0.5423	0.231	0.769	0
0.4404	0	0.734	0.266
0	0	1	0
-0.1531	0.096	0.904	0
0.2263	0	0.929	0.071
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.0951	0	0.898	0.102
0	0	1	0
0.1531	0.106	0.707	0.187
-0.2057	0.232	0.768	0
0.4215	0	0.648	0.352
0.2023	0	0.87	0.13
0.802	0	0.62	0.38
0	0	1	0
0.0056	0	0.951	0.049
0.0726	0.058	0.874	0.068
0.4215	0	0.763	0.237
-0.0772	0.075	0.86	0.065
-0.3252	0.143	0.857	0
-0.128	0.064	0.936	0
0.3995	0	0.862	0.138
0	0	1	0
0.5719	0	0.879	0.121
0.5719	0	0.519	0.481
0	0	1	0
			
0.7506	0.061	0.694	0.246
0.34	0	0.866	0.134
-0.2023	0.189	0.697	0.115
0.2023	0	0.816	0.184
0.3818	0	0.795	0.205
0.5267	0.061	0.697	0.242
-0.0382	0.113	0.887	0
0	0	1	0
0.3197	0	0.881	0.119
0	0	1	0
0.4588	0	0.826	0.174
0	0	1	0
0.4404	0	0.791	0.209
0	0	1	0
0	0	1	0
-0.2023	0.31	0.69	0
0	0	1	0
0.7579	0	0.805	0.195
0	0	1	0
0	0	1	0
-0.2263	0.192	0.808	0
-0.0772	0.121	0.769	0.109
-0.0382	0.076	0.924	0
0	0	1	0
0.1027	0	0.851	0.149
0	0	1	0
0.7906	0	0.733	0.267
0	0	1	0
0	0	1	0
0.5574	0.053	0.721	0.226
0	0	1	0
0.128	0	0.783	0.217
0	0	1	0
0.0258	0	0.922	0.078
-0.25	0.118	0.882	0
0	0	1	0
0	0	1	0
-0.6369	0.302	0.698	0
0.34	0.117	0.607	0.276
-0.0572	0.075	0.925	0
0.5129	0.102	0.732	0.166
0	0	1	0
0	0	1	0
0.4588	0	0.8	0.2
0	0	1	0
0.34	0.12	0.6	0.28
-0.4019	0.172	0.828	0
0.5994	0	0.671	0.329
0	0	1	0
0.34	0	0.745	0.255
0	0	1	0
0	0	1	0
-0.3818	0.2	0.714	0.086
-0.25	0.08	0.92	0
0.5106	0	0.909	0.091
0	0	1	0
0	0	1	0
-0.3182	0.078	0.893	0.028
-0.5417	0.6	0.4	0
0.0382	0	0.919	0.081
0.3182	0	0.937	0.063
0.3182	0	0.839	0.161
0	0	1	0
0.0382	0	0.839	0.161
0	0	1	0
0	0	1	0
0	0	1	0
-0.1531	0.093	0.841	0.065
0.0951	0	0.889	0.111
0	0	1	0
0.0516	0.076	0.815	0.11
-0.5719	0.402	0.598	0
0	0	1	0
0.2023	0	0.859	0.141
-0.5423	0.147	0.853	0
-0.0516	0.375	0.625	0
0.2846	0	0.858	0.142
0	0	1	0
-0.296	0.196	0.804	0
-0.6124	0.312	0.688	0
-0.4215	0.147	0.853	0
-0.2755	0.075	0.925	0
0.128	0.12	0.733	0.147
-0.1531	0.348	0.652	0
0	0	1	0
0	0	1	0
-0.0258	0.216	0.784	0
0	0	1	0
0.34	0	0.888	0.112
0.2023	0	0.899	0.101
0.5574	0.118	0.588	0.294
0	0	1	0
0	0	1	0
-0.3595	0.137	0.863	0
-0.4767	0.22	0.78	0
0	0	1	0
0	0	1	0
0.128	0	0.914	0.086
-0.6096	0.178	0.822	0
0	0	1	0
0.2006	0	0.834	0.166
0.4228	0	0.822	0.178
0.4588	0.053	0.772	0.175
-0.4703	0.085	0.915	0
-0.0516	0.085	0.915	0
0.0516	0	0	1
0	0	1	0
0.1027	0.118	0.727	0.155
0	0.061	0.878	0.061
0.25	0.049	0.82	0.131
-0.3182	0.247	0.753	0
0.4588	0	0.812	0.188
0	0	1	0
0	0	1	0
0	0	1	0
-0.1027	0.218	0.638	0.144
0	0	1	0
-0.3612	0.455	0.545	0
0.3182	0	0.897	0.103
0.2023	0	0.833	0.167
0.6412	0	0.8	0.2
0.4215	0	0.781	0.219
0.2023	0	0.913	0.087
0	0	1	0
0	0	1	0
0.4588	0	0.786	0.214
0.2008	0.115	0.777	0.108
0.2023	0	0.816	0.184
0	0	1	0
0	0	1	0
0.6369	0	0.785	0.215
0.0772	0	0.86	0.14
0.4391	0	0.806	0.194
0.2023	0	0.87	0.13
0	0	1	0
0	0	1	0
0	0	1	0
-0.0271	0	1	0
-0.1556	0.051	0.949	0
0.4019	0	0.847	0.153
0.3415	0	0.294	0.706
0	0	1	0
0	0	1	0
0	0	1	0
0.2235	0	0.9	0.1
0.1326	0	0.895	0.105
0	0	1	0
0.1027	0	0.676	0.324
0	0	1	0
0.3658	0	0.665	0.335
-0.2411	0.197	0.803	0
0	0	1	0
0.296	0.062	0.817	0.12
-0.3532	0.224	0.776	0
0	0	1	0
0	0	1	0
-0.34	0.221	0.779	0
0	0	1	0
0	0	1	0
-0.1695	0.114	0.886	0
0.3818	0	0.357	0.643
-0.0271	0	1	0
0	0	1	0
0	0	1	0
-0.0271	0	1	0
-0.3612	0.333	0.667	0
0	0	1	0
-0.4019	0.184	0.816	0
-0.4019	0.213	0.787	0
-0.4019	0.13	0.87	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.3612	0	0.545	0.455
0	0	1	0
0.1027	0	0.588	0.412
0.0951	0	0.88	0.12
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
-0.0271	0	1	0
0	0	1	0
-0.4019	0.094	0.906	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0.4404	0	0.734	0.266
-0.6705	0.191	0.809	0
0	0	1	0
-0.2732	0.1	0.9	0
-0.25	0.129	0.781	0.09
0	0	1	0
-0.6705	0.141	0.814	0.045
-0.7269	0.198	0.742	0.061
